127.0.0.1, 2010-11-16 13:22:10, GET, /, HTTP/1.1, 303, 0.000761
127.0.0.1, 2010-11-16 13:22:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.049107
127.0.0.1, 2010-11-16 13:22:10, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2010-11-16 13:22:10, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000401
127.0.0.1, 2010-11-16 13:22:10, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.000409
127.0.0.1, 2010-11-16 13:22:10, GET, /welcome/static/calendar.js, HTTP/1.1, 200, 0.000337
127.0.0.1, 2010-11-16 13:22:10, GET, /welcome/static/base.css, HTTP/1.1, 200, 0.000341
127.0.0.1, 2010-11-16 13:22:10, GET, /welcome/static/superfish.js, HTTP/1.1, 200, 0.000331
127.0.0.1, 2010-11-16 13:22:10, GET, /welcome/static/images/background.png, HTTP/1.1, 200, 0.000409
127.0.0.1, 2010-11-16 13:22:10, GET, /welcome/static/images/header.png, HTTP/1.1, 200, 0.000285
127.0.0.1, 2010-11-16 13:22:13, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000510
127.0.0.1, 2010-11-16 13:22:16, GET, /admin/default/index, HTTP/1.1, 200, 0.388733
127.0.0.1, 2010-11-16 13:22:16, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.001419
127.0.0.1, 2010-11-16 13:22:16, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.001332
127.0.0.1, 2010-11-16 13:22:16, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.000414
127.0.0.1, 2010-11-16 13:22:16, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.000581
127.0.0.1, 2010-11-16 13:22:16, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000402
127.0.0.1, 2010-11-16 13:22:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000444
127.0.0.1, 2010-11-16 13:22:18, POST, /admin/default/index, HTTP/1.1, 303, 0.058548
127.0.0.1, 2010-11-16 13:22:18, GET, /admin/default/site, HTTP/1.1, 200, 0.040257
127.0.0.1, 2010-11-16 13:22:18, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.000556
127.0.0.1, 2010-11-16 13:22:18, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.000431
127.0.0.1, 2010-11-16 13:22:18, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.000607
127.0.0.1, 2010-11-16 13:22:18, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.001510
127.0.0.1, 2010-11-16 13:22:18, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000379
127.0.0.1, 2010-11-16 13:22:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000434
127.0.0.1, 2010-11-16 13:22:18, POST, /admin/default/check_version, HTTP/1.1, 200, 0.606435
127.0.0.1, 2010-11-16 13:22:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000475
127.0.0.1, 2010-11-16 13:22:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000464
127.0.0.1, 2010-11-16 13:22:22, GET, /admin/default/twitter, HTTP/1.1, 200, 4.118957
127.0.0.1, 2010-11-16 13:22:25, GET, /ForCA/default/index, HTTP/1.1, 500, 5.198724
127.0.0.1, 2010-11-16 13:22:28, GET, /admin/default/ticket/ForCA/127.0.0.1.2010-11-16.13-22-25.c5da7375-cf0c-4c8b-9e7e-05ff15261466, HTTP/1.1, 200, 0.064314
127.0.0.1, 2010-11-16 13:22:28, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.000394
127.0.0.1, 2010-11-16 13:22:28, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.000613
127.0.0.1, 2010-11-16 13:22:28, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.000471
127.0.0.1, 2010-11-16 13:22:28, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.000410
127.0.0.1, 2010-11-16 13:22:28, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000407
127.0.0.1, 2010-12-08 10:15:29, GET, /, HTTP/1.1, 500, 5.200965
127.0.0.1, 2010-12-08 10:15:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000435
127.0.0.1, 2010-12-08 10:15:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000443
127.0.0.1, 2010-12-08 10:15:31, GET, /admin/default/ticket/ForCA/127.0.0.1.2010-12-08.10-15-29.b2bff359-0b22-4311-bd52-c0e604f86090, HTTP/1.1, 303, 0.355418
127.0.0.1, 2010-12-08 10:15:31, GET, /admin/default/index, HTTP/1.1, 200, 0.075294
127.0.0.1, 2010-12-08 10:15:31, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.000590
127.0.0.1, 2010-12-08 10:15:31, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.000497
127.0.0.1, 2010-12-08 10:15:32, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.000551
127.0.0.1, 2010-12-08 10:15:32, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.000537
127.0.0.1, 2010-12-08 10:15:32, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000430
127.0.0.1, 2010-12-08 10:15:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000454
127.0.0.1, 2010-12-08 10:15:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000455
127.0.0.1, 2010-12-08 10:15:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000508
127.0.0.1, 2010-12-08 10:15:33, POST, /admin/default/index, HTTP/1.1, 303, 0.028241
127.0.0.1, 2010-12-08 10:15:33, GET, /admin/default/ticket/ForCA/127.0.0.1.2010-12-08.10-15-29.b2bff359-0b22-4311-bd52-c0e604f86090, HTTP/1.1, 200, 0.115695
127.0.0.1, 2010-12-08 10:15:33, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.000554
127.0.0.1, 2010-12-08 10:15:33, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.000431
127.0.0.1, 2010-12-08 10:15:33, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.000348
127.0.0.1, 2010-12-08 10:15:33, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.000417
127.0.0.1, 2010-12-08 10:15:33, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000535
127.0.0.1, 2010-12-08 10:15:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000345
